Model,Features,Accuracy,F1-Macro,P-Macro,R-Macro,P-Bearish,R-Bearish,P-Bullish,R-Bullish,P-Neutral,R-Neutral
"XGBoost (lr=0.05, 500 trees)",TF-IDF Uni (stem),0.7947,0.7253,0.7248,0.726,0.601,0.622,0.705,0.688,0.869,0.868
"Random Forest (500 trees, depth=20)",BoW Binary (stem),0.7988,0.725,0.74,0.7124,0.659,0.583,0.71,0.662,0.851,0.892
"LightGBM (500 trees, leaves=63)",BoW Binary (stem),0.7905,0.7244,0.7184,0.731,0.582,0.615,0.7,0.727,0.873,0.851
"Random Forest (500 trees, depth=20)",TF-IDF Bi (stem),0.8036,0.7243,0.7536,0.7029,0.648,0.569,0.772,0.626,0.84,0.913
"XGBoost (lr=0.1, 200 trees)",BoW Count (lem),0.7941,0.7239,0.7176,0.7308,0.563,0.604,0.708,0.73,0.882,0.858
"XGBoost (lr=0.05, 500 trees)",TF-IDF Bi (lem),0.7957,0.7232,0.7237,0.7227,0.593,0.597,0.708,0.699,0.87,0.872
"LightGBM (500 trees, leaves=63)",BoW Count (stem),0.7899,0.7227,0.7179,0.7278,0.579,0.608,0.704,0.722,0.87,0.854
"XGBoost (lr=0.05, 500 trees)",TF-IDF Uni (lem),0.7952,0.7225,0.7206,0.7245,0.582,0.601,0.704,0.704,0.875,0.869
"Logistic Regression (L2, C=1)",BoW Count (lem),0.7899,0.7221,0.7203,0.7241,0.601,0.628,0.694,0.683,0.866,0.861
Random Forest (200 trees),BoW Binary (lem),0.8146,0.7215,0.8092,0.6784,0.82,0.458,0.788,0.618,0.82,0.959
SVM - LinearSVC (C=1.0),BoW Binary (stem),0.7889,0.721,0.7223,0.7197,0.625,0.618,0.683,0.678,0.859,0.863
"XGBoost (lr=0.1, 200 trees)",TF-IDF Bi (lem),0.7947,0.7205,0.7224,0.7186,0.594,0.583,0.706,0.699,0.867,0.874
"Random Forest (500 trees, depth=20)",BoW Count (stem),0.7926,0.7201,0.7323,0.7095,0.655,0.594,0.693,0.652,0.848,0.883
MLP (512->256),TF-IDF Uni (lem),0.8062,0.7193,0.7756,0.6887,0.758,0.469,0.739,0.67,0.829,0.927
Naive Bayes - MultinomialNB,BoW Count (lem),0.7915,0.7182,0.7241,0.7128,0.621,0.597,0.694,0.665,0.857,0.876
"Random Forest (500 trees, depth=20)",BoW Binary (lem),0.7978,0.7176,0.7405,0.7006,0.675,0.542,0.7,0.66,0.846,0.9
SVM - LinearSVC (C=1.0),BoW Count (stem),0.7847,0.7164,0.7179,0.7149,0.616,0.608,0.683,0.678,0.854,0.859
MLP (512->256),TF-IDF Bi (stem),0.7988,0.7157,0.7519,0.6904,0.661,0.549,0.764,0.605,0.831,0.917
MLP (512->256),TF-IDF Bi (lem),0.8078,0.7153,0.7821,0.6836,0.796,0.448,0.718,0.668,0.832,0.935
"Random Forest (500 trees, depth=20)",BoW Count (lem),0.7957,0.7152,0.7351,0.6996,0.65,0.542,0.709,0.66,0.846,0.897
Random Forest (200 trees),TF-IDF Bi (stem),0.8109,0.7141,0.826,0.6656,0.86,0.427,0.812,0.605,0.806,0.964
"XGBoost (lr=0.1, 200 trees)",TF-IDF Uni (lem),0.7873,0.714,0.7107,0.7175,0.574,0.594,0.686,0.699,0.872,0.86
